frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
509,42416.667,21,0,confirmed,113.795,30.167,155.071,107.434,0.8118
510,42500.000,21,0,confirmed,118.489,29.384,157.581,106.319,0.7844
511,42583.333,21,0,confirmed,122.904,28.411,158.713,104.742,0.8222
512,42666.667,21,0,confirmed,129.450,27.600,163.391,104.627,0.7781
513,42750.000,21,0,confirmed,137.614,26.802,173.990,104.231,0.8026
514,42833.333,21,0,confirmed,143.464,26.750,181.919,104.893,0.8317
515,42916.667,21,0,confirmed,147.226,25.898,187.225,105.072,0.8390
516,43000.000,21,0,confirmed,150.739,23.571,191.159,102.837,0.8192
517,43083.333,21,0,confirmed,155.446,20.634,192.737,99.023,0.7346
517,43083.333,22,36,tentative,161.342,88.918,190.469,99.172,0.2824
518,43166.667,21,0,confirmed,160.869,19.040,195.637,97.421,0.8009
519,43250.000,21,0,confirmed,167.183,18.022,201.948,96.233,0.7993
520,43333.333,21,0,confirmed,169.377,17.626,204.136,96.031,0.2820
520,43333.333,23,0,tentative,168.948,18.065,217.614,95.965,0.7577
521,43416.667,21,0,confirmed,174.161,16.549,209.039,95.225,0.2820
521,43416.667,23,0,tentative,170.336,17.213,221.837,95.655,0.8038
522,43500.000,21,0,confirmed,181.528,16.240,218.141,94.908,0.7560
523,43583.333,21,0,confirmed,187.569,13.796,222.164,91.094,0.7769
523,43583.333,24,38,tentative,167.270,40.271,197.356,59.269,0.3759
524,43666.667,21,0,confirmed,192.405,12.338,224.831,88.976,0.7818
524,43666.667,24,38,tentative,167.133,41.233,196.256,59.159,0.3417
525,43750.000,21,0,confirmed,197.708,10.671,229.159,87.520,0.7830
526,43833.333,21,0,confirmed,203.091,10.051,235.284,87.427,0.7811
526,43833.333,25,0,tentative,83.695,381.528,229.229,430.698,0.2852
527,43916.667,21,0,confirmed,206.858,8.904,241.248,87.087,0.8168
527,43916.667,25,0,tentative,79.473,371.017,237.473,428.122,0.6363
528,44000.000,21,0,confirmed,206.322,6.736,243.999,85.742,0.8119
528,44000.000,25,0,confirmed,61.219,359.811,240.797,427.125,0.3947
529,44083.333,21,0,confirmed,211.729,4.208,248.622,81.504,0.6923
529,44083.333,25,0,confirmed,46.410,350.209,244.228,424.360,0.3947
529,44083.333,26,2,tentative,69.822,347.491,240.636,428.377,0.5735
530,44166.667,21,0,confirmed,213.864,1.404,249.464,78.257,0.4009
530,44166.667,25,0,confirmed,32.374,340.897,246.886,421.306,0.3947
530,44166.667,27,0,tentative,199.238,1.349,246.464,77.225,0.7377
